i_sample,n_local_networks,n_global_edges,v_topology,n_output_variables,n_clauses_function,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
1,7,6,2,2,2,1,1,0.5053601440158673,15.0,,
1,7,6,2,2,2,1,2,0.19905631802976131,15.0,,
1,7,6,2,2,2,1,3,0.18526636599563062,15.0,,
1,7,6,2,2,2,2,1,0.0002723109791986644,,5.0,
1,7,6,2,2,2,2,2,0.0756909100455232,,5.0,
1,7,6,2,2,2,2,3,0.05484656902262941,,5.0,
1,7,6,2,2,2,3,1,5.894602509215474e-05,,,0.0
1,7,6,2,2,2,3,2,0.034099937009159476,,,0.0
1,7,6,2,2,2,3,3,8.758099284023046e-05,,,0.0
1,7,7,2,2,2,1,1,0.42191587400157005,45.0,,
1,7,7,2,2,2,1,2,0.1498149309772998,45.0,,
1,7,7,2,2,2,1,3,0.15779227198800072,45.0,,
1,7,7,2,2,2,2,1,0.00024137197760865092,,111.0,
1,7,7,2,2,2,2,2,0.0572410780005157,,111.0,
1,7,7,2,2,2,2,3,0.05226635298458859,,111.0,
1,7,7,2,2,2,3,1,0.28583348501706496,,,2187.0
1,7,7,2,2,2,3,2,0.7074472249951214,,,2187.0
1,7,7,2,2,2,3,3,0.5435182079672813,,,2187.0
1,7,8,2,2,2,1,1,0.47197803598828614,28.0,,
1,7,8,2,2,2,1,2,0.15688063396373764,28.0,,
1,7,8,2,2,2,1,3,0.1478066449635662,28.0,,
1,7,8,2,2,2,2,1,0.0005796130280941725,,40.0,
1,7,8,2,2,2,2,2,0.06771768996259198,,40.0,
1,7,8,2,2,2,2,3,0.07463470002403483,,40.0,
1,7,8,2,2,2,3,1,0.003378012974280864,,,8.0
1,7,8,2,2,2,3,2,0.29272828600369394,,,8.0
1,7,8,2,2,2,3,3,0.29087574599543586,,,8.0
1,7,9,2,2,2,1,1,0.519023125001695,61.0,,
1,7,9,2,2,2,1,2,0.15335350896930322,61.0,,
1,7,9,2,2,2,1,3,0.14359814900672063,61.0,,
1,7,9,2,2,2,2,1,0.0005580319557338953,,345.0,
1,7,9,2,2,2,2,2,0.07355327805271372,,345.0,
1,7,9,2,2,2,2,3,0.06054750399198383,,345.0,
1,7,9,2,2,2,3,1,4.53269832697697,,,3083.0
1,7,9,2,2,2,3,2,4.392787309014238,,,3083.0
1,7,9,2,2,2,3,3,4.209910492005292,,,3083.0
1,7,10,2,2,2,1,1,0.4634557930403389,33.0,,
1,7,10,2,2,2,1,2,0.15199348999885842,33.0,,
1,7,10,2,2,2,1,3,0.24746121698990464,33.0,,
1,7,10,2,2,2,2,1,0.0005236700526438653,,150.0,
1,7,10,2,2,2,2,2,0.06248140899697319,,150.0,
1,7,10,2,2,2,2,3,0.058186170004773885,,150.0,
1,7,10,2,2,2,3,1,0.0985276130377315,,,129.0
1,7,10,2,2,2,3,2,0.7931394070037641,,,129.0
1,7,10,2,2,2,3,3,0.8090464569977485,,,129.0
1,7,11,2,2,2,1,1,0.45859023003140464,22.0,,
1,7,11,2,2,2,1,2,0.13993609102908522,22.0,,
1,7,11,2,2,2,1,3,0.143116663035471,22.0,,
1,7,11,2,2,2,2,1,0.000296755984891206,,48.0,
1,7,11,2,2,2,2,2,0.06208799296291545,,48.0,
1,7,11,2,2,2,2,3,0.08453246700810269,,48.0,
1,7,11,2,2,2,3,1,0.001077161985449493,,,1.0
1,7,11,2,2,2,3,2,0.47680630296235904,,,1.0
1,7,11,2,2,2,3,3,0.4718620990170166,,,1.0
2,7,6,2,2,2,1,1,0.32306147302733734,30.0,,
2,7,6,2,2,2,1,2,0.12428570701740682,30.0,,
2,7,6,2,2,2,1,3,0.1225046839681454,30.0,,
2,7,6,2,2,2,2,1,0.00022048898972570896,,60.0,
2,7,6,2,2,2,2,2,0.0608158340328373,,60.0,
2,7,6,2,2,2,2,3,0.05670008796732873,,60.0,
2,7,6,2,2,2,3,1,0.010474167007487267,,,128.0
2,7,6,2,2,2,3,2,0.28385425300803035,,,128.0
2,7,6,2,2,2,3,3,0.2838838659808971,,,128.0
2,7,7,2,2,2,1,1,0.7293246580520645,39.0,,
2,7,7,2,2,2,1,2,0.2029289480415173,39.0,,
2,7,7,2,2,2,1,3,0.20170784299261868,39.0,,
2,7,7,2,2,2,2,1,0.0002545720199123025,,55.0,
2,7,7,2,2,2,2,2,0.05347600398818031,,55.0,
2,7,7,2,2,2,2,3,0.05961882398696616,,55.0,
2,7,7,2,2,2,3,1,0.006067111971788108,,,27.0
2,7,7,2,2,2,3,2,0.2846410149941221,,,27.0
2,7,7,2,2,2,3,3,0.2760219710180536,,,27.0
2,7,8,2,2,2,1,1,0.3329614050453529,28.0,,
2,7,8,2,2,2,1,2,0.1343733730027452,28.0,,
2,7,8,2,2,2,1,3,0.12176792899845168,28.0,,
2,7,8,2,2,2,2,1,0.0003151940181851387,,78.0,
2,7,8,2,2,2,2,2,0.051556136982981116,,78.0,
2,7,8,2,2,2,2,3,0.05967602401506156,,78.0,
2,7,8,2,2,2,3,1,0.03859673795523122,,,128.0
2,7,8,2,2,2,3,2,0.341209590958897,,,128.0
2,7,8,2,2,2,3,3,0.36139030003687367,,,128.0
2,7,9,2,2,2,1,1,0.6066596879973076,32.0,,
2,7,9,2,2,2,1,2,0.1622933330363594,32.0,,
2,7,9,2,2,2,1,3,0.17785439098952338,32.0,,
2,7,9,2,2,2,2,1,0.0003112130216322839,,16.0,
2,7,9,2,2,2,2,2,0.06669926398899406,,16.0,
2,7,9,2,2,2,2,3,0.07630851701833308,,16.0,
2,7,9,2,2,2,3,1,6.208900595083833e-05,,,0.0
2,7,9,2,2,2,3,2,0.04138920200057328,,,0.0
2,7,9,2,2,2,3,3,9.826704626902938e-05,,,0.0
2,7,10,2,2,2,1,1,0.6851163129904307,27.0,,
2,7,10,2,2,2,1,2,0.1704352909582667,27.0,,
2,7,10,2,2,2,1,3,0.17088227497879416,27.0,,
2,7,10,2,2,2,2,1,0.0003483679611235857,,52.0,
2,7,10,2,2,2,2,2,0.0637078220024705,,52.0,
2,7,10,2,2,2,2,3,0.056853807996958494,,52.0,
2,7,10,2,2,2,3,1,0.01588658703258261,,,128.0
2,7,10,2,2,2,3,2,0.4448659290210344,,,128.0
2,7,10,2,2,2,3,3,0.4259948840481229,,,128.0
2,7,11,2,2,2,1,1,0.6738372249528766,51.0,,
2,7,11,2,2,2,1,2,0.1732237740070559,51.0,,
2,7,11,2,2,2,1,3,0.15869734500302002,51.0,,
2,7,11,2,2,2,2,1,0.00039516203105449677,,247.0,
2,7,11,2,2,2,2,2,0.062242273008450866,,247.0,
2,7,11,2,2,2,2,3,0.07348259800346568,,247.0,
2,7,11,2,2,2,3,1,1.3786966900224797,,,310.0
2,7,11,2,2,2,3,2,1.5169512829743326,,,310.0
2,7,11,2,2,2,3,3,1.5221031949622557,,,310.0
3,7,6,2,2,2,1,1,0.4524810739676468,42.0,,
3,7,6,2,2,2,1,2,0.17629511404084042,42.0,,
3,7,6,2,2,2,1,3,0.15451657597441226,42.0,,
3,7,6,2,2,2,2,1,0.0002613459946587682,,112.0,
3,7,6,2,2,2,2,2,0.05531303898897022,,112.0,
3,7,6,2,2,2,2,3,0.0532733240397647,,112.0,
3,7,6,2,2,2,3,1,0.17780969198793173,,,2593.0
3,7,6,2,2,2,3,2,0.4313415829674341,,,2593.0
3,7,6,2,2,2,3,3,0.6419426659704186,,,2593.0
3,7,7,2,2,2,1,1,0.24589509604265913,15.0,,
3,7,7,2,2,2,1,2,0.11321726004825905,15.0,,
3,7,7,2,2,2,1,3,0.11133839096873999,15.0,,
3,7,7,2,2,2,2,1,0.00017132103675976396,,11.0,
3,7,7,2,2,2,2,2,0.05410010600462556,,11.0,
3,7,7,2,2,2,2,3,0.05382814403856173,,11.0,
3,7,7,2,2,2,3,1,0.00012089498341083527,,,1.0
3,7,7,2,2,2,3,2,0.25246129400329664,,,1.0
3,7,7,2,2,2,3,3,0.25094105902826414,,,1.0
3,7,8,2,2,2,1,1,0.5200300259748474,39.0,,
3,7,8,2,2,2,1,2,0.17215233895694837,39.0,,
3,7,8,2,2,2,1,3,0.1814876040443778,39.0,,
3,7,8,2,2,2,2,1,0.0002894920180551708,,105.0,
3,7,8,2,2,2,2,2,0.054199560021515936,,105.0,
3,7,8,2,2,2,2,3,0.059037744998931885,,105.0,
3,7,8,2,2,2,3,1,0.1151530520291999,,,432.0
3,7,8,2,2,2,3,2,0.4201903050416149,,,432.0
3,7,8,2,2,2,3,3,0.41924074303824455,,,432.0
3,7,9,2,2,2,1,1,0.8506500720395707,61.0,,
3,7,9,2,2,2,1,2,0.2798640810069628,61.0,,
3,7,9,2,2,2,1,3,0.3295858360361308,61.0,,
3,7,9,2,2,2,2,1,0.0004775749985128641,,216.0,
3,7,9,2,2,2,2,2,0.05929741496220231,,216.0,
3,7,9,2,2,2,2,3,0.07858799595851451,,216.0,
3,7,9,2,2,2,3,1,0.7892020350554958,,,700.0
3,7,9,2,2,2,3,2,1.0002138540148735,,,700.0
3,7,9,2,2,2,3,3,1.2721713430364616,,,700.0
3,7,10,2,2,2,1,1,0.5463979740161449,27.0,,
3,7,10,2,2,2,1,2,0.15321997296996415,27.0,,
3,7,10,2,2,2,1,3,0.1466879970394075,27.0,,
3,7,10,2,2,2,2,1,0.00026630499633029103,,45.0,
3,7,10,2,2,2,2,2,0.059717580035794526,,45.0,
3,7,10,2,2,2,2,3,0.06055665301391855,,45.0,
3,7,10,2,2,2,3,1,0.0005432959878817201,,,1.0
3,7,10,2,2,2,3,2,0.37895964295603335,,,1.0
3,7,10,2,2,2,3,3,0.41718754899920896,,,1.0
3,7,11,2,2,2,1,1,0.6236336340080015,37.0,,
3,7,11,2,2,2,1,2,0.17614893603604287,37.0,,
3,7,11,2,2,2,1,3,0.15905409498373047,37.0,,
3,7,11,2,2,2,2,1,0.00046514300629496574,,194.0,
3,7,11,2,2,2,2,2,0.06357707898132503,,194.0,
3,7,11,2,2,2,2,3,0.05612829601159319,,194.0,
3,7,11,2,2,2,3,1,0.18843052600277588,,,128.0
3,7,11,2,2,2,3,2,0.7768274859990925,,,128.0
3,7,11,2,2,2,3,3,0.6698677950189449,,,128.0
4,7,6,2,2,2,1,1,0.31720912299351767,16.0,,
4,7,6,2,2,2,1,2,0.13010900298831984,16.0,,
4,7,6,2,2,2,1,3,0.10994987597223371,16.0,,
4,7,6,2,2,2,2,1,0.0001777459983713925,,12.0,
4,7,6,2,2,2,2,2,0.06123355496674776,,12.0,
4,7,6,2,2,2,2,3,0.05335371202090755,,12.0,
4,7,6,2,2,2,3,1,0.00014177797129377723,,,2.0
4,7,6,2,2,2,3,2,0.24814105202676728,,,2.0
4,7,6,2,2,2,3,3,0.2493074009544216,,,2.0
4,7,7,2,2,2,1,1,0.540955592005048,60.0,,
4,7,7,2,2,2,1,2,0.18527418799931183,60.0,,
4,7,7,2,2,2,1,3,0.17207174201030284,60.0,,
4,7,7,2,2,2,2,1,0.00035262899473309517,,240.0,
4,7,7,2,2,2,2,2,0.06729919998906553,,240.0,
4,7,7,2,2,2,2,3,0.05967839900404215,,240.0,
4,7,7,2,2,2,3,1,0.5385038839885965,,,16384.0
4,7,7,2,2,2,3,2,1.287071909988299,,,16384.0
4,7,7,2,2,2,3,3,1.2122906830045395,,,16384.0
4,7,8,2,2,2,1,1,0.6742362279910594,39.0,,
4,7,8,2,2,2,1,2,0.19054273603251204,39.0,,
4,7,8,2,2,2,1,3,0.17317418596940115,39.0,,
4,7,8,2,2,2,2,1,0.0004301530425436795,,111.0,
4,7,8,2,2,2,2,2,0.05981095804600045,,111.0,
4,7,8,2,2,2,2,3,0.05978658300591633,,111.0,
4,7,8,2,2,2,3,1,0.058695243031252176,,,288.0
4,7,8,2,2,2,3,2,0.3781663849949837,,,288.0
4,7,8,2,2,2,3,3,0.3768642650102265,,,288.0
4,7,9,2,2,2,1,1,0.4376799590536393,18.0,,
4,7,9,2,2,2,1,2,0.20987284800503403,18.0,,
4,7,9,2,2,2,1,3,0.306338116992265,18.0,,
4,7,9,2,2,2,2,1,0.00021518097491934896,,34.0,
4,7,9,2,2,2,2,2,0.0556722329929471,,34.0,
4,7,9,2,2,2,2,3,0.06540314998710528,,34.0,
4,7,9,2,2,2,3,1,0.00039355503395199776,,,1.0
4,7,9,2,2,2,3,2,0.33416574797593057,,,1.0
4,7,9,2,2,2,3,3,0.3371277169790119,,,1.0
4,7,10,2,2,2,1,1,0.6986500869970769,66.0,,
4,7,10,2,2,2,1,2,0.18584004300646484,66.0,,
4,7,10,2,2,2,1,3,0.17641810502391309,66.0,,
4,7,10,2,2,2,2,1,0.00048385997069999576,,432.0,
4,7,10,2,2,2,2,2,0.054820729012135416,,432.0,
4,7,10,2,2,2,2,3,0.05302329297410324,,432.0,
4,7,10,2,2,2,3,1,4.901213206001557,,,2916.0
4,7,10,2,2,2,3,2,5.584104934008792,,,2916.0
4,7,10,2,2,2,3,3,5.051936772011686,,,2916.0
4,7,11,2,2,2,1,1,0.7850200079847127,80.0,,
4,7,11,2,2,2,1,2,0.17313626303803176,80.0,,
4,7,11,2,2,2,1,3,0.16590706101851538,80.0,,
4,7,11,2,2,2,2,1,0.0009471169905737042,,1016.0,
4,7,11,2,2,2,2,2,0.06633106101071462,,1016.0,
4,7,11,2,2,2,2,3,0.07226770900888368,,1016.0,
4,7,11,2,2,2,3,1,111.57240302901482,,,16384.0
4,7,11,2,2,2,3,2,98.08785551798064,,,16384.0
4,7,11,2,2,2,3,3,97.89458324597217,,,16384.0
5,7,6,2,2,2,1,1,0.3789223479689099,26.0,,
5,7,6,2,2,2,1,2,0.16630348097532988,26.0,,
5,7,6,2,2,2,1,3,0.1617779050138779,26.0,,
5,7,6,2,2,2,2,1,0.00028194900369271636,,74.0,
5,7,6,2,2,2,2,2,0.0876686199917458,,74.0,
5,7,6,2,2,2,2,3,0.10232397599611431,,74.0,
5,7,6,2,2,2,3,1,0.015667494968511164,,,224.0
5,7,6,2,2,2,3,2,0.5229506489704363,,,224.0
5,7,6,2,2,2,3,3,0.5493723050458357,,,224.0
5,7,7,2,2,2,1,1,0.24771599803352728,15.0,,
5,7,7,2,2,2,1,2,0.15512566198594868,15.0,,
5,7,7,2,2,2,1,3,0.1515215029940009,15.0,,
5,7,7,2,2,2,2,1,0.0001845909864641726,,6.0,
5,7,7,2,2,2,2,2,0.09029213798930869,,6.0,
5,7,7,2,2,2,2,3,0.08324641000945121,,6.0,
5,7,7,2,2,2,3,1,5.754898302257061e-05,,,0.0
5,7,7,2,2,2,3,2,0.07250251597724855,,,0.0
5,7,7,2,2,2,3,3,8.394900942221284e-05,,,0.0
5,7,8,2,2,2,1,1,1.7325481129810214,28.0,,
5,7,8,2,2,2,1,2,0.17042544297873974,28.0,,
5,7,8,2,2,2,1,3,0.1573592570493929,28.0,,
5,7,8,2,2,2,2,1,0.0002876759972423315,,98.0,
5,7,8,2,2,2,2,2,0.0838191089569591,,98.0,
5,7,8,2,2,2,2,3,0.0850745759671554,,98.0,
5,7,8,2,2,2,3,1,0.030563174979761243,,,128.0
5,7,8,2,2,2,3,2,0.7068674730253406,,,128.0
5,7,8,2,2,2,3,3,0.7353162720100954,,,128.0
5,7,9,2,2,2,1,1,0.6779248260427266,50.0,,
5,7,9,2,2,2,1,2,0.2168758329935372,50.0,,
5,7,9,2,2,2,1,3,0.21470844896975905,50.0,,
5,7,9,2,2,2,2,1,0.0007764960173517466,,102.0,
5,7,9,2,2,2,2,2,0.0842908860067837,,102.0,
5,7,9,2,2,2,2,3,0.11010401498060673,,102.0,
5,7,9,2,2,2,3,1,0.004185379017144442,,,2.0
5,7,9,2,2,2,3,2,0.5840828639920801,,,2.0
5,7,9,2,2,2,3,3,0.5811947180191055,,,2.0
5,7,10,2,2,2,1,1,0.7696540189790539,53.0,,
5,7,10,2,2,2,1,2,0.2363024659571238,53.0,,
5,7,10,2,2,2,1,3,0.23750492301769555,53.0,,
5,7,10,2,2,2,2,1,0.00046039395965635777,,280.0,
5,7,10,2,2,2,2,2,0.0936001010122709,,280.0,
5,7,10,2,2,2,2,3,0.08676368702435866,,280.0,
5,7,10,2,2,2,3,1,1.4606581610278226,,,1023.0
5,7,10,2,2,2,3,2,2.3598681790172122,,,1023.0
5,7,10,2,2,2,3,3,2.522431029996369,,,1023.0
5,7,11,2,2,2,1,1,0.3190138910431415,23.0,,
5,7,11,2,2,2,1,2,0.14714475901564583,23.0,,
5,7,11,2,2,2,1,3,0.13505481398897246,23.0,,
5,7,11,2,2,2,2,1,0.00036806397838518023,,16.0,
5,7,11,2,2,2,2,2,0.09247097704792395,,16.0,
5,7,11,2,2,2,2,3,0.07696160196792334,,16.0,
5,7,11,2,2,2,3,1,6.187899271026254e-05,,,0.0
